ID,kategori,isi_laporan,sentimen
209,penelantaran,Pagi tadi di jalanan X saya melihat anak yang kebingungan dan setleah saya tanya dia ditinggal pergi oleh orangtuanya,High
210,Psikis,Kakak tiri saya sering memaksa saya melakukan hal yang dia inginkan. Dia sering memfitnah dan mempermalukan saya di depan keluarga besar,High
211,Seksual,"Selamat malam, tolong bantu saya mendapatkan keadilan atas kekerasan seksual yang dilakukan oleh suami saya terhadap pembantu saya",High
212,Seksual,"Saya dipaksa menikah oleh orangtua saya dengan dalih membantu ekonomi padahal saya masih belum cukup umur, tolong saya.",High
213,Psikis,"Saya gendut dan tidak menarik. Saya sering dibully karena itu, mereka merendahkan saya setiap saya datang ke sekolah",Low
214,Seksual,"Daerah rumah saya rawan dengan pedofil. Mereka mengincar anak kecil dan memaksa mereka untuk ikut ke dalam mobil, membawa mereka ke suatu tempat asing, lalu diperkosa",High
215,penelantaran,saya ingin melapor bahwa sudah satu bulan anak tetangga saya menumpang dan tidak ada kabar dari orangtua ataupun saudaranya,High
216,Psikis,Anak saya memiliki kepercayaan diri yang rendah karena sering dibully oleh teman-temannya. Dia adalah anak berkebutuhan khusus. Dia sangat pendiam,Low
217,Seksual,Tolong bantu adik saya menjadi korban pemerkosaan di sekolahnya. adik saya diperkosa oleh gurunya yang biadab.,High
218,Fisik,Tante saya sering memukul sepupu saya ketika sedang emosi,Low
219,Psikis,Tetangga saya sering marah-marah setiap malam karena percekcokan. Sering kali sang istri dikatai  dengan kata-kata kasar.,Low
220,Seksual,"Di pekerjaan saya, saya selalu diancam akan dipecat jika tidak melakukan hubungan badan dengan boss",High
221,Psikis,Aku benci banget sama ibu yang kalo lagi marah suka ngata-ngatain aku pake ucapan kasar.,Low
222,Seksual,"Selamat malam, saya ingin melaporkan bahwa anak saya baru saja mengalami pelecehan oleh teman-temannya. Bajunya tiba-tiba ditarik dan dirobek, celana dalamnya ditari dan ditampar ke muka anak saya. Anak saya sangat trauma sekarang",Low
223,Psikis,Suami saya suka mengatai saya goblok,Low
224,penelantaran,Anak dari bapak x yang suka minum minuman keras dilarang untuk bersekolah dan harus bekerja oleh bapaknya,High
225,Seksual,Saya ingin melaporkan kejadian pemerkosaan yang dialami oleh tante saya dan butuh ditangani segera karena hingga detik ini mengalami ganggua mental,High
226,Seksual,Saya pergi keluar rumah menggunakan baju longgar dan tiba-tiba ada orang masturbasi di depan saya. Saya sangat takut dan malu,Low
227,Fisik,Tetangga saya jahat banget. Dia suka nyiram anaknya pake air panas,High
228,Fisik,Aku capek sama kedua orang tua aku. Mereka setiap hari selalu main tangan sama aku kalau emosi,High
229,Psikis,Kemarin sore saya bertemu dengan anak laki-laki yang mengatai ibunya dengan kata-kata yang sangat kasar yang tidak pantas diucapkan.,Low
230,Fisik,"Kakak saya sering melindungi saya ketika ibu sedang emosi. Dia sering ditonjok, ditendang hingga memar-memar",High
231,Seksual,"Orang tua saya bekerja dan setiap hari saya sekolah. Adik saya masih TK kadang suka diasuh oleh om saya. Pernah suatu ketika saat saya pulang lebih cepat, saya melihat perilaku biadab om saya. Adik saya dipaksa masturbasi di depan om saya. saya sangat marah hingga tidak bisa berkata-kata",High
232,Seksual,Pacar saya memanfaatkan saya untuk memuaskan birahinya dengan mengancam akan menunjukkan video rekaman saya dengan dia,High
233,Psikis,Papa saya sering keluar rumah untuk judi karena tidak suka dengan saya. Saya telah melakukan tindakan asusila dan papa saya sangat marah karena hal itu,Low
234,Seksual,"Selamat siang, saya ingin melaporkan tindak kekerasan seksual yang dilakukan oleh kakak saya terhadap pacarnya yang masih di bawah umur",High
235,Fisik,Saya dilarang ketemu anak saya oleh mantan suami. Saya cerai karena adanya KDRT. Anak saya sering dipukuli oleh mantan suami saya ini,High
236,Fisik,Anak saya sedang pulang sekolah tiba-tiba terkena celurit dari tawuran sekolah. Sekarang keadaannya sedang koma,High
237,Psikis,Aku gasuka sama temen sebangku aku yang ngomongnya kasar dan cenderung malu-maluin aku karena nyebar rahasia aku,Low
238,Seksual,"Adik laki laki saya trauma tinggal di asrama laki-laki, dia sedang tidur tiba-tiba disodomi oleh temannya yang laki laki. Bokong adik saya berdarah sampai harus dilarikan ke rumah sakit",High
239,Psikis,"Saya selalu dimanfaatkan teman karena keluarga saya dari orang kaya, Ketika saya tidak mau memberikan uang pada mereka, mereka mengancam tidak mau berteman lagi dengan saya. Saya takut tidak punya teman",Low
240,Fisik,Mertua saya sering menampar dan melakukan kekerasan fisik pada saya. Mungkin karena mereka masih belum bisa menerima saya sebagai mantunya. Tapi saya capek jika seperti ini terus,Low
241,Psikis,Sahabat saya telah mendapat penganiayaan hingga mentalnya terganggu. Ia harus sering pergi ke psikiater karena adanya KDRT oleh suaminya,High
242,Psikis,Suami saya suka berpergian tanpa kejelasan dan tiba-tiba pulang ingin menceraikan saya,Low
243,Eksploitasi,Ibu saya menyuruh saya untuk mengamen di jalanan dan menyetorkan uangnya setiap hari namun saya hanya diberi makan satu kali,High
244,Psikis,"Ibu baru saja meninggal 2 hari lalu, tapi bapak tidak mengurusi saya dan bahkan mencari wanita lain di luar. Saya sangat sakit melihatnya. Setiap hari setelah pualng bekerja, papa sangat emosi pada saya karena mengingatkan pada mama dan mulai mengatai saya anak setan",High
245,Psikis,Jadi aku pernah hamil saat SMP dan melakukan aborsi. Ibu aku sangat marah dan suka mengungkit-ungkit hal tersebut padahal aku sudah mengaku menyesal. Dia juga suka cerita ke tetangga. Sakit sekali rasanya. Aku gak bisa ngelawan.,High
246,penelantaran,ibu saya meninggalkan saya di rumah sendirian dan tidak pernah kembali,High
247,penelantaran,tolong aku udah tiga bulan di jalanan semenjak ditinggalin sama ibu aku,High
248,Seksual,"Saya sedang merantau dan tinggal sendirian di jakarta. ketika saya sakit, guru saya datang menjenguk dan tiba tiba mencium saya. Saya mendorongnya dan dia pergi. saya sangat ketakutan",High
249,Fisik,Adik saya albino seringkali dibully oleh teman-temannya. Badannya sering dioleskan balsam oleh teman-temannya,Low
250,Fisik,"Sekarang terbukti bahwa suami saya menganiaya saya dan anak dengan balok. Kepala, leher, dan semua anggota tubuh kami dipukul hingga pernah kaki saya patah. Saya merasa tidak aman dengan ini",High
251,Psikis,Tutur kata suami baru saya sangat buruk terhadap anak saya dengan suami saya yang sebelumnya. Padahal anak saya ini masih kelas 2 SD,Low
252,Psikis,Suami saya sering membatasi saya berpergian,Low
253,Fisik,Ibu sering sekali memukuli saya dengan pentungan dan barang-barang tumpul. Kulit saya sampai memar,High
254,Psikis,Papa saya suka menyuarakan isi kepalanya tapi kerap kali dengan kata-kata yang kasar,Low
255,Psikis,"Sama sekali tidak terpikirkan oleh saya bahwa suami saya berselingkuh dan ketika ia pulang kerumah, dia mengancam akan membunuh saya jika saya memberitahukannya kepada ibunya",High
256,Fisik,"Beberapa hari lalu ada kasus tetangga yang ketahuan selingkuh, dan istrinya langsung membunuh selingkuhan suaminya dengan pisau",High
257,Fisik,"Ayah suka mukulin ibu kalau lagi emosi, parah sekali dampaknya. Ibu sampai masuk rumah sakit.",High
258,Fisik,Ibu saya sering memukul saya kalau sedang emosi,High
259,Seksual,"Sejak kecil, adik laki-laki saya pernah disodomi saat berada di asrama laki-laki. Sekarang dia sangat ketakutan dan menjadi penyendiri",High
260,Fisik,Anak tetangga saya lahir tidak normal dan sering dipukuli temannya sampai pingsan,High
261,Psikis,Saya diasuh oleh tante. Dia sangat benci pada saya karena saya dianggap beban. Tidak jarang dia suka mengatai saya anak sial,Low
262,Seksual,MENTAL ANAK SAYA HANCUR KARENA DIPERKOSA OLEH STAFF SEKOLAH. DIA MENJADI PENDIAM DAN SELALU MENGURUNG DIRI. MOHON USUT KASUS INI!,High
263,Fisik,"Kemarin saya bertengkar dengan suami, dia menjambak rambut dan mendorong kepala saya ke tembok hingga berdarah",High
264,Psikis,"Sejumlah turis menginap di tempat hotel saya bekerja, namun mereka mendapatkan perlakuan rasis dikata-katai karena warna kulit oleh warga setempat",Low
265,Fisik,Bunda suka ngelindungin aku kalau ayah lagi emosi. Biasanya ayah bakal main fisik kayak mukul aku,High
266,penelantaran,Saya menemukan anak bayi di tempat pembuangan sampah X dengan keadaan kotor dan sakit,Low
267,Fisik,Anak saya sering dianiaya sama anak-anak sekampung. Saya tidak bisa menolong karena daya kerja,High
268,Fisik,Beberapa bulan lalu anak saya dipukul hingga benjol dan berdarah oleh tetangga,High
269,Fisik,ayah enteng banget nendang saya kalau dia lagi emosi,High
270,Seksual,"Selamat pagi, saya ingin melaporkan kejadian yang dialami oleh saya selama magang di kantor X. saya diperkosa oleh atasan saya dan diancam menggunakan video rekaman yang dia buat",High
271,Fisik,Mama suka banget mukulin aku pakai pentungan baseball kalau nilai sekolah aku jelek. Badanku sampai memar,High
272,Psikis,Saya sering dimaki-maki ibu saya jika tidak melaksanakan pekerjaan dengan benar. Ia juga suka merendahkan saya,Low
273,Seksual,"Saya cek ke dokter kandungan kemarin. Tapi dokter kandungannya tiba-tiba masturbasi setelah men-check tubuh saya. Saya merasa takut dan tidak nyaman. Sungguh saya trauma, semoga dokter tersebut dipecat dan kasus ini segera diusut",High
274,Psikis,Ayah saya sering memanggil saya anak setan. Saya sangat sakit hati,Low
275,Psikis,Aku stress tinggal bareng ayah dan ibu. Mereka kalau ngomong suka ngga pake perasaan. Aku mau kabur dari rumah,Low
276,Seksual,Sungguh tidak masuk akal anak saya dihamili oleh tetangga saya,High
277,Seksual,Sekolah saya sering terjadi kasus pemerkosaan antara guru dan muridnya. Saya sebagai anak baru menjadi takut untuk melanjutkan sekolah disitu. Buktinya sudah banyak soalnya,High
278,Seksual,Dulu sekali saya pernah dilecehkan oleh orang tidak dikenal. Sampai sekarang saya masih takut dan tidak berani bersosialisasi dengan laki-laki,High
279,penelantaran,Tetangga saya meninggalkan bayinya di depan rumah saya dan tidak perhan terlihat lagi,Low
280,Seksual,Kakak perempuan saya mengalami kekerasan seksual oleh teman-temannya saat dia lengah tertidur. Awalnya mereka mengindap di hotel. Lalu mereka melakukan aksinya tanpa sepengetahuan kakak saya,High
281,Seksual,"Selamat sore, saya ingin melaporkan tindakan yang dilakukan oleh dosen saya yang mengancam tidak akan memberikan nilai tugas akhir jika tidak mau melayani nafsu birahinya",High
282,Psikis,Tetangga saya memiliki anak laki-laki berumur 10 tahunan yang sangat tidak sopan pada ibunya. Dia menempeleng kepala ibunya dan pernah menginjak kepala ibunya. Sangat tidak hormat pada orang tua,High
283,Fisik,Ibu saya sering menusuk saya dengan benda tajam di bagian perut. Saya sudah sering bolak-balik rumah sakit,High
284,Seksual,"Saya pernah camping dari acara sekolah, tapi teman laki-laki saya mulai mendatangi camp perempuan dan menggerayangi badan saya. Saya sangat takut dan tidak bisa bergerak",High
285,Fisik,Anak saya mengalami kekerasan fisik dan batin dikarenakan membongkar kecurangan USBN dan UNBK di sekolah. Dia dipukuli dan dimaki oleh staff sekolah,High
286,Seksual,Teman saya kemarin roknya diangkat dengan semena-mena oleh guru,Low
287,Fisik,"Tetangga saya suami istri sudah bercerai, anaknya diasuh oleh bapaknya. Tapi selama bersama bapaknya, mereka kerap kali mendapat kekerasan fisik. Bapaknya melarang anak-anaknya bertemu dengan ibunya",High
288,Fisik,Saya baru tahu bahwa anak saya umur 12 tahun berpacaran dengan lelaki berumur 35 tahun. Dia sering mendapat perlakuan fisik,High
289,Seksual,"Saat saya pulang kerja, ada pria paruh baya yang secara cepat meremas payudara saya. Saya sangat marah dan ingin menangis. Sampai sekarang pun saya masih menangis dan merasa diri saya kotor.",High
290,Psikis,Suami saya sering merendahkan saya karena saya berasal dari kalangan yang tidak punya,Low
291,Fisik,Saya minta tolong ada keponakanku d perkosa sama ayahh tirinya tp ibu kandungnya tidak percaya karna kejadiannya tahun yg lalu tp anaknya baru bilang sekarang sama saya. Ibunya juga suka dianiaya,High
292,penelantaran,"pagi ini di depan rumah, saya menemukan bayi yang menangis di dalam sebuah kotak kardus ",Low
293,Fisik,Sering sekali saya lihat ibu-ibu pengemis dengan anaknya yang tidur di dekat rumah. Tidak mungkin kalau anaknya tidur pulas seperti itu berjam-jam. Saya memiliki dugaan kalau anak itu dibius oleh ibunya,Low
294,Fisik,"Saya sudah menjadi janda, mantan suami saya sampai sekarang masih suka menganiaya saya",High
295,Fisik,kakak saya memukuli saya hingga lebam setiap dia emosi,High
296,Fisik,Tante saya suka mencubit adik saya,Low
297,trafficking,Saya mendapatkan informasi bahwa ada usaha ilegal dalam memasarkan pekerja seks komersial di daerah kontruksi Y ,High
298,penelantaran,"Selamat malam, saya menemukan seorang anak yang dilantarkan oleh orangtuanya di jembatan x dekat kali",High
299,Seksual,Saya kerapkali diancam oleh guru untuk berhubungan badan jika ingin lulus mata pelajarannya,High
300,Eksploitasi,setiap hari aku harus keliling jalanan dari pagi sampai sore untuk mengamen dan mengemis karena dipaksa om,High
301,Seksual,Bibi saya suka memegang-megang adik saya yang perempuan (adik saya sudah SMA) di bagian privasinya. Saya heran padahal bibi saya perempuan tapi kenapa dia melakukan pelecehan itu pada perempuan juga??,Low
302,Fisik,"Kakak aku nakal banget. Dia suka main tangan sama aku, nampar lah, nyubit lah, mukul lah",Low
303,Seksual,Malam itu saya men tweet bahwa saya ingin cuddle dan berpelukan dengan seseorang. hanya itu saja. namun ketika bertemu dengan orang yang setuju dengan hal itu. dia malah mengambil kesempatan untuk memperkosa saya. kita berhubungan badan tanpa adanya consent dari saya,High
304,Seksual,"Kemarin saya pulang sekolah menggunakan motor, tapi tiba-tiba saat menuju rumah, dada saya diraba oleh seseorang yang juga mengendarai motor",High
305,Seksual,"Kemarin saya dipaksa teman untuk menemaninya mencari kosan di kawasan Bandung. Karena dia teman saya, ya saya temani. Tapi saat kami menginap dalam perjalanan, dia mulai menggrayangi tubuh saya. Saya sangat trauma, padahal teman saya ini perempuan",High
306,Fisik,Ibu saya sering mengatai saya anak tidak berguna dan melakukan kekerasan pada saya. Seperti menaruh balsem pada bibir saya,Low
307,Seksual,"Ipar saya ternyata pernah diperkosa oleh sekelompok orang. Itu menyebabkan dia trauma berhubungan badan. Kakak saya frustasi dengannya, bagaimana caranya agar mau melupakan hal tersebut",High
308,penelantaran,kemarin saya mendapatkan informasi bahwa di rumah x ada anak berkebutuhan khusus yang tidak dirawat dengan baik,High
309,Fisik,Suami saya sering melakukan kekerasan fisik seperti menendang dan memukul dengan benda keras,High
310,Seksual,"Saya hanya tinggal bersama ibu sekarang karena ayah saya sudah meninggal. Saat itu saya sedang keluar rumah untuk urusan bisnis, saat pulang di tengah malam, saya melihat ibu saya diperkosa oleh segerombolan orang tidak dikenal. Ibu saya menangis sesenggukan dan saya melapor polisi. Tapi ibu saya sekarang yang awalnya ceria menjadi sangat pendiam",High
311,Psikis,Orang tua saya sering merendahkan saya di depan tetangga,Low
312,Seksual,Dosen saya memaksa saya untuk berhubungan intim dengannya agar saya bisa mendapatkan nilai untuk lulus,High
313,Seksual,Ibu saya menjual saya ke club sebagai PSK. Saya sering mengalami kekerasan seksual disana,High
314,Seksual,Teman saya sengaja marsturbasi di depan saya. Saya sangat jijik,Low
315,Fisik,Papa sering nonjok mama sampai wajah mama memar,High
316,Seksual,Mohon bantu saya melaporkan tindakan yang dilakukan oleh guru saya yang sengaja meraba bagian terlarang tubuh saya dengan ancaman nilai ujian akhir saya tidak diberikan,High
317,trafficking,"tolong saya untuk bisa kembali ke Indonesia, saat ini saya ada di daerah x dan menjadi korban perdagangan manusia",High
318,Fisik,Biasanya ibu akan mukul kalau aku ngga berhasil dapet ranking tinggi. Aku juga sering ngga dikasih makan,High
319,Psikis,Suami saya perkataannya sungguh jahat terhadap anak saya,Low
320,Psikis,Suami saya sering melakukan kekerasan verbal terhadap ibu saya,Low
321,Seksual,Saya ingin melaporkan bahwa di sekolah Z ada pemerkosaan yang dilakukan guru pada muridnya,High
322,Fisik,"Aku ingin bunuh diri rasanya karena setiap hari ayah suka memukul, menendang, dan lainnya setiap pulang kerja",High
323,Fisik,"Kenalan saya sering menampar, menjambak, memukul anaknya dengan kasar kalau anaknya nakal",High
324,Seksual,Ibu saya melihat pencabulan pada anak di bawah umur di pasar,High
325,trafficking,"tolong saya, bapak kalah judi dan akhirnya menjual saya ke bandar judi.",High
326,Psikis,Saya seringkali dibully oleh teman-teman karena saya memiliki keterbelakangan mental,High
327,Seksual,Saya dipaksa oleh bapak untuk berhubungan badan dan diancam untuk dibunuh jika tidak mau,High
328,Seksual,Saya ingin melapor bahwa perusahaan X sangat sinting. Para atasannya mengiming-imingi gaji tinggi dan mengancam akan memecat karyawan perempuannya jika tidak mau melakukan hubungan intim dengan mereka,High
329,Seksual,Teman saya bekerja di cafe A sebagai barista. Atasannya sering memperkosanya dan mengancam akan membunuhnya jika tidak memenuhi nafsu sang atasan,High
330,Psikis,Dua hari lalu sekolah A melakukan tindak kekerasan verbal kepada anak didiknya,Low
331,Psikis,Terjadi perpeloncoan di TK A. Mereka disuruh memakai atribut-atribut aneh. Hukumannya adalah dijemur dan dipertontonkan di depan sekolah,Low
332,Psikis,"Temen-temen aku ngerendahin aku karena aku tuli. Padahal aku udah make alat bantu di telinga. Mereka ngetawain aku karena pas aku nyoba ngomong, intonasinya menurut mereka aneh",Low
333,Psikis,"Karena pacar saya populer dan tampan, saya sering dibully oleh perempuan-perempuan di kelas. Mereka menyuruh saya putus dan mulai merendahkan saya",High
334,Fisik,Saya sering dipukuli ayah ketika saya menasehatinya tentang berjudi,High
335,penelantaran,orangtua saya suatu hari meninggalkan saya sendirian di bawah jembatan,High
336,Fisik,Kakak saya sering melakukan kekerasan fisik pada saya.,Low
337,Fisik,Staff di institusi X melakukan penganiayaan kepada adik saya hingga adik saya masuk ke rumah sakit dan perlu dirawat hingga sekarang,High
338,Psikis,"Papa saya pengangguran, dua hari lalu saya pergoki bertemu dengan wanita lain. Di rumah dia sering mengambil uang mama (mama adalah wanita karir) dan mengata-ngatai mama. Mama ingin bercerai namun mama sering diancam",High
339,Psikis,Aku dikatain goblok dan tidak diberikan makan sama mama. Padahal aku ga buat salah apa-apa. Mama selalu mabuk setiap malam,Low
340,Fisik,Tetangga saya sering menendang anaknya sebagai bentuk hukuman ketika anaknya berbuat salah,Low
341,Seksual,"Di sekolah Z, saya menemukan kasus pencabulan oleh guru pada muridnya",High
342,Fisik,Saya sudah pisah dengan mantan suami karena selalu dianiaya fisik sampai saya trauma. Selama 6 bulan dia selalu meneror untuk membunuh saya. Saya ingin lepas darinya..,High
343,Fisik,Teman saya sering dibully oleh suatu kelompok karena mereka merasa senang membully orang lain. Mereka sudah melakukan kekerasan fisik dengan benda tumpul,High
344,Fisik,"Ibu kasar banget sama aku, dia suka main tangan kalo aku nakal",Low
345,penelantaran,malam ini saat saya mendengar suara tangis seorag bayi di ujung gang dan ternyata benar ada bayi yang ditelantarkan oleh orangtuanya,Low
346,penelantaran,waktu itu saya mendengar ada suara tangisan bayi di dalam rumah kosong dan pada saat saya cek ada seorang anak  batyi ayng ditinggal di dalam rumah,Low
347,Fisik,Ayah suka banget mukulin dengan keras kalo aku nakal sedikit. Ga jarang aku ke dokter gara-gara perlakuan ayah,High
348,Psikis,Ibu saya sering tidak percaya pada saya dan merendahkan kemampuan saya hingga saya sangat ketakutan untuk hidup dan pernah berpikir untuk bunuh diri,High
349,Psikis,Papa dan Mama suka mengatai saya tai. Hal itu membuat saya tidak aman karena mereka juga tidak terlihat sayang pada saya,Low
350,Eksploitasi,Saya melihat banyak anak jalanan yang harus berjualan tisu di daerah X dan uangnya harus disetor ke preman setempat,High
351,Eksploitasi,"tolong saya, saat ini saya dipaksa untuk berjualan dagangan oleh preman di dekat rel kereta x",High
352,Psikis,"Kakak aku Anak Berkebutuhan Khusus, dia sering  dipermainkan oleh teman sekolahnya dan diketawakan karena keterbataasannya",Low
353,Seksual,"Mohon bantuannya, keponakan saya dilecehkan oleh gurunya di sekolah dan mengalami trauma",Low
354,Seksual,anak saya dipaksa dan diperkosa oleh teman-temannya di sekolah dan saya butuh keadilan untuk menuntut mereka,High
355,Psikis,Saya melihat ada ibu hamil dan anaknya dibentak wanita di gerbong kereta. Mereka meminta kursi di priority seat tapi wanita tersebut malah membentak dan berkata bahwa ia letih,Low
356,Seksual,Adik saya masih TK baru saja mengalami kekerasan seksual yang dilakukan oleh guru laki-lakinya,High
357,Psikis,Di sekolah Y menghukum murid-muridnya dengan menggantungkan sepatu di lehernya dan berlari keliling pusat pemerintahan,Low
358,Seksual,Teman saya yang menginap di rumah saya sungguh kurang ajar. dia telah melecehkan saya. Dia tiba tiba mengendap ke kamar saya dan mulai menyetubuhi saya,High
359,Psikis,Suami saya setelah pulang kerja biasanya akan membentak saya. Berkata bahwa ia letih. padahal saya di rumah juga capek mengurus anak dan rumah,Low
360,Fisik,"Omku suka bermain tangan kepadaku jika aku berkunjung ke rumahnya. Alasannya karena dia mabuk. Biasanya dia memukul, menjitak, dan menamparku dengan keras",High
361,Fisik,"Anak tetangga saya dididik secara tidak manusiawi dengan ibunya, seperti membanting anaknya ke tanah",High
362,penelantaran,anak tetangga saya ditinggal pergi oleh ayahnya yang terkenal suka judi,High
363,Psikis,"Beberapa hari lalu di supermarket, saya melihat ada bapak-bapak mencuri. Lalu ada anak SD yang melaporkan hal tersebut. Dia membentak anak SD dan mengancam akan membunuhnya jika semua orang tahu. Anak tersebut terlihat sangat trauma",High
364,Seksual,"Mohon bantuannya, pembantu di rumah tetangga saya diperkosa oleh majikannya dan diancam akan dipecat jika tidak memenuhi permintaannya",High
365,Psikis,Keponakan saya dikatai monyet oleh teman-temannya,Low
366,Psikis,Orang tua saya kerap kali memaksa saya untuk belajar penuh dan tidak akan memberikan makan jika tidak belajar,High
367,Seksual,Anak sy enggan makan itu knp y.. bnyk bekas merah di tubuhnya jg... dia jg sk diem akhirMedium ini,High
368,Seksual,Bapak tiri saya sering melakukan pemerkosaan terhadap saya..,High
369,Seksual,"Di kosan saya terdapat kasus pencurian celana dalam, dan beberapa hari lalu sang pelaku menuliskan surat ingin melakukan hubungan badan dengan saya. Saya sangat takut dan jijik",Low
370,Fisik,Adik saya albino dan sering mendapatkan kekerasan fisik oleh teman-temannya,High
371,Seksual,Pada saat melakukan pengakuan dosa di dalam kapel saya dilecehkan oleh romo yang bertugas pada saat itu. Dada saya di raba-raba dan bibir saya dicium,Low
372,Fisik,Papa sama mama kerap bertengkar tapi main fisik hingga mamah sering lebam lebam,High
373,Seksual,Teman saya perempuan. Tapi dia suka memegang dada dan bokong saya. Saya merasa tidak nyaman. Ada rumor juga mengatakan bahwa dia tidak lurus,High
374,Fisik,Ibu aku suka mukulin aku,High
375,Seksual,ANAK SAYA DIPEGANG PEGANG OLEH TETANGGA. MASALAHNYA TETANGGA SAYA INI MEMEGANG DADA DAN PANTAT ANAK SAYA DENGAN MUKA MESUM,High
376,Psikis,"Setelah melahirkan, suami saya tidak pernah peduli dengan saya. Ia bilang fisik saya jelek dan ia tidak suka lagi. Sekarang ia pergi dengan wanita lain. Saya sangat stress akan hal ini",Low
377,Psikis,Perlakuan suami saya sering merendahkan keluarga saya yang berada pada keluarga susah,Low
378,Psikis,Institusi B sangat mengecewakan. Mereka mempermalukan staffnya di depan khalayak publik dengan menceritakan aib-aib yang mereka punya,Low
379,Psikis,"Sebelumnya aku pikir ibu ngga kenapa-napa, tapi semenjak ditinggal ayah, ibu jadi semakin emosional dan ngelontarin emosinya ke aku dengan umpatan kasar",Low
380,Fisik,Saya dan anak saya ditelantarkan oleh suami. Tidak dinafkahi,Low
381,Seksual,Bapak saya sering melakukan kekerasan seksual pada saya,High
382,penelantaran,Sudah satu bulan bapak tidak pulang kerumah dan saya sendirian di rumah,High
383,penelantaran,anak murid saya dilarang pergi ke sekolah oleh orangtuanya dan dipaksa bekerja,High
384,Eksploitasi,Aku disuruh mengemis sama mama di trotoar setiap hari dari jam sembilan sampe jam lima sore ,Low
385,Seksual,"Mohon bantuannya, pria ini memaksa saudara saya untuk mememnuhi hasratnya dengan iming-iming akan diberikan pekerjaan",High
386,Fisik,Anak saya sedang bermain dengan teman-temannya di komplek disiram air comberan yang benuh bakteri oleh tetangga,Low
387,Fisik,Anak saya dilempar oleh penghapus papan tulis oleh gurunya saat dia berisik,Low
388,Seksual,Ibu saya sering dipaksa melakukan hubungan badan dengan tetangga. Jika tidak dia bisa diancam dibunuh,High
389,penelantaran,papaku ninggalin aku di depan gang x dan gapernah balik lagi,High
390,Seksual,"mohon bantuannya, dosen di kampus Z telah melakukan kekeraasan seksual kepada mahasiswanya dengan mengancam menggunakan nilai akhir semester",High
391,Fisik,"Saya anak broken home. Sekarang saya tinggal bersama ibu. Saya dituntut untuk memiliki nilai yang sempurna di sekolah karena jika tidak, saya akan dipukul dengan bat baseball oleh ibu saya. Perut saya memar parah, saya sudah berusaha mencoba lapor polisi namun tidak digubris",High
392,Psikis,Papa saya seringkali menghina saya sebagai anak buangan semenjak mama saya meninggal,Low
393,Psikis,Anak tentangga saya sering direndahkan oleh tetangga lainnya karena memiliki keterbatasan mental,Low
394,Psikis,Suami saya sering mengurung saya dan tidak membolehkan saya keluar. Saya kan juga ingin memiliki kehidupan di luar rumah.. Tapi dia selalu melarang dan mengancam saya jika saya berani membantah,High
395,penelantaran,"Di dekat rel kereta rumah saya ada anak yang kebingungan mencari orangtuanya. setelah ditanya, ternyata dia ditinggalkan oleh ayahnya",High
396,Fisik,"Adik saya dijebak oleh teman-temannya, dia disuruh pergi untuk beli aksesoris,yang ternyata di dalam aksesorisnya ada narkoba",Low
397,penelantaran,saat saya sedang berjalan hari ini saya mendengar suara bayi di dekat kali. Setelah saya selidiki ternyata ada seorang anak bayi diatas rak yang mengapung,Low
398,Seksual,"Pada saat adik saya pulang sekolah, ia tiba-tiba dicegat seorang pria dan pria tersebut langsung melakukan masturbasi. Adik saya menangis dan mengaku trauma",Low
399,Fisik,Ayah selalu memukuli saya dan ibu jika mabuk. Ia bisa memecahkan botol dan menghantamkannya kepada kami hingga berdarah-darah.,High
400,Psikis,Kemarin tetangga saya ribut besar dengan suaminya. Suaminya mengata-ngatai istrinya dengan sebutan anjing,Low
401,Psikis,Keluarga di sebelah rumah saya tidak main-main dalam memarahi anaknya yang masih TK. Mereka suka mengata-ngatai anaknya tanpa dipikirkan terlebih dahulu dampak kedepannya.,Low
402,Psikis,Suami saya sering mengucapkan kata-kata kasar pada saya dan anak saya. Dia juga sering mengumpat dan mengatai kami,Low
403,Fisik,Suami saya sering menyiksa saya hingga berdarah,High
404,Fisik,"Ayahku ini baru meninggal dan ternyata punya istri lain. Dan ternyata ayah pernah menikah dengan wanita lain, pas aku ke rumahnya, aku dan ibu malah ditampar dan dimintai uang",Low
405,Fisik,Anak tetangga saya pergi ke rumah neneknya karena mengaku sering dianiaya bapaknya di rumah,High
406,Psikis,Suami saya tidak pernah memberikan saya kasih sayang. Dia sangat bengis dan kata-katanya sungguh kasar,Low
407,Seksual,"tolong saya, sekarang saya sedang bersembunyi di dalam lemari. Ada gerombolan penjahat yang masuk ke rumah dan sekarang sedang memperkosa ibu saya",High
408,Seksual,Koko saya pernah mengalami sodom oleh teman-temannya hingga membuat dia trauma,High
409,Seksual,"Saya pernah ke rumah teman saya. Disana saya tanpa sadar tertidur, lalu om teman saya dengan tiba-tiba mencium bibir saya. Saya tidak berani melapor",Low
410,Fisik,"Adek saya kelas 6 SD gamau sekolahh, gamau ikut ekskul, gamau bersosialisasi, dia cuma diam aja di rumah. Bagaimana cara membujuknya?",Low
411,Seksual,Anak saya dipaksa oleh tetangga saya untuk berhubungan badan,High
412,Psikis,Teman saya adalah anak berkebutuhan khusus. Dia sering dibully baik fisik dan psikis. ,High
413,Fisik,Aku gatau kenapa ibu suka banget main tangan kalau aku ga dapet nilai yang bagus,Low
